大分類,中分類,No.,図 書 名,著　　　者,出　版　社,ISBN,冊 数,金 額,
1,1,41,"コンピュ－タ入門","藤田成隆　山原英男　浦部治一郎 

","学術図書出版社 ","9784780604405",1,"1,400",
1,1,56,"図解　コンピュータ概論［ソフトウェア・通信ネットワーク］　改訂４版","橋本洋志 

","オ－ム社 ","9784274221439",1,"2,500",
1,2,58,"改訂第４版　Ｃ言語によるはじめてのアルゴリズム入門","河西　朝雄 

","技術評論社 ","9784774193731",1,"2,880",
1,3,14,"情報基礎と情報処理　第４版","寺沢幹雄　松田高行　福田收 

","オ－ム社 ","9784274219924",1,"2,600",
1,3,26,"情報基礎","上繁義史 

","培風館 ","9784563015930",1,"1,500",
1,3,36,"大学生の知の情報ツ－ル　１　第２版","森園子　池田修（情報処理） 

","共立出版 ","9784320123878",1,"2,300",
1,3,37,"大学生の知の情報ツ－ル　２　第２版","森園子　池田修（情報処理） 

","共立出版 ","9784320123885",1,"2,300",
1,3,47,"情報科学基礎","伊東俊彦 

","ムイスリ出版 ","9784896412352",1,"2,300",
1,3,49,"情報倫理","高橋慈子　原田隆史　佐藤翔 

","技術評論社 ","9784774168227",1,"1,280",
1,5,5,"ビジネスのためのデータ処理リテラシー","尾碕眞　吉田聡　笠置剛 

","創成社 ","9784794425126",1,"2,200",
1,5,7,"よくわかる情報リテラシー　改訂新版","岡本敏雄　小泉力一　渡辺博芳 

","技術評論社 ","9784774191423",1,"1,480",
1,5,9,"ＩＣＴの活用　第２版","山田智久　當作靖彦　横溝紳一郎 

","くろしお出版 ","9784874247327",1,"1,600",
1,5,12,"大学生のＩＣＴ活用標準テキスト　第１１版","富山大学情報処理教育部会情報処理テキストワーキンググループ 

","梧桐書院 ","9784340530281",1,"2,000",
1,5,23,"事例で学ぶコンピュ－タリテラシ－　改訂版","菊地紀子 

","学文社 ","9784762025877",1,"2,000",
1,5,25,"情報利活用表計算","阿部香織 

","日経ＢＰマ－ケティング ","9784822297961",1,"1,200",
1,5,29,"学校と図書館でまなぶインタ－ネット活用法","ジェ－ムス・Ｅ．ヘリング　須永和之 

","日本図書館協会 ","9784820415145",1,"2,200",
1,5,38,"入門情報リテラシ－","喜家村奨　戸上良弘　原邊祥弘 

","コロナ社 ","9784339024937",1,"2,200",
1,5,39,"レポ－ト作成のためのコンピュ－タリテラシ－　第３版","椎原正次 

","ムイスリ出版 ","9784896412376",1,"2,380",
1,5,40,"アカデミック情報リテラシ－","宇野美由紀　大瀧保広　野口宏 

","学術図書出版社 ","9784780604290",1,"1,100",
1,5,43,"コンピュ－タリテラシ　第３版","大曽根匡　渥美幸雄　植竹朋文 

","共立出版 ","9784320123847",1,"2,800",
1,5,44,"実習情報リテラシ　第２版","重定如彦　河内谷幸子 

","サイエンス社 ","9784781913520",1,"1,980",
1,5,46,"情報社会のデジタルメディアとリテラシ－　第２版","小島正美　木村清　池田展敏 

","ムイスリ出版 ","9784896412314",1,"1,800",
1,5,50,"ゼロからはじめる情報リテラシ－","高橋尚子（情報教育） 

","技術評論社 ","9784774170596",1,"1,280",
